TIME 24 HOURS,BASE/SUB BASE,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,
1930,TARAKWA,UASIN GISHU,NAKURU ELDORET,CHEBII,HEAD ON COLLISION,F,A,39,PASSENGER,1,02/06/2016,
2300,NAKURU,NAKURU,NAIROBI NAKURU,STATE HOUSE,HIT AND RUN,M,A,98,PEDESTRIAN,1,02/06/2016,
2340,KAJIADO,KAJIADO,KAJIADO MURRAM ROAD,MAILI,THE VICTIM WAS RAN OVER BY THE VEHICLE,M,A,98,PASSENGER,1,02/06/2016,
1100,KIKUYU,KIAMBU,NAIVASHA NAIROBI,ACRE TANO,THE CYCLE KNOCKED DOWN THE VITIM WHILE CROSSING THE ROAD,F,A,68,PEDESTRIAN,1,01/06/2016,
725,KITENGELA,KAJIADO,KITENGELA ISINYA ROAD,KITENGELA TOWN,THE VEHICLE RAMMED INTO THE TRI CYCLE AND RAMMED INTO THE KAZ,M,A,35,PASSENGER,1,01/06/2016,
1345,EMBAKASI,NAIROBI,MOMBASA ROAD,NEAR ASSEMBLEYS OF GOD CHURCH,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,68,PEDESTRIAN,1,01/06/2016,
1400,CENTRAL,NAIROBI,HAILE SELASIE AVENUE,NEAR RAILWAYS ROUND ABOUT,THE VICTIM ALIGHTED WHILE THE VEHICLE WAS IN MOTION,M,A,98,PASSENGER,1,01/06/2016,
1540,MAKINDU,MAKUENI,WOTE MAKINDU,KINSINGO AREA,ONE OF THE CYCLE LOST CONTROL AND RAMMED INTO THE OTHER CYCLE,M,A,26,M/CYCLIST,1,01/06/2016,
2030,EMBAKASI,NAIROBI,OUTERING ROAD,FEDHA ESTATE,HIT AND RUN,M,A,98,PEDESTRIAN,1,01/06/2016,
2020,MWINGI,MWINGI,MWINGI GARISSA RD,NDALANI BRIDGE,HEAD ON COLLISION,M,A,98,DRIVER,1,01/06/2016,
2020,MWINGI,MWINGI,MWINGI GARISSA RD,NDALANI BRIDGE,HEAD ON COLLISION,M,A,98,PASSENGER,1,01/06/2016,
815,BOMET,BOMET,BOMET NAROK,MULOT,HEAD ON COLLISION,M,A,,DRIVER,1,30/04/2016,
,VOI,TAITA TAVETA,MWATATE VOI,CKAHARELI,HEAD ON COLLISION,M,A,8,M/CYCLIST,1,30/04/2016,
,VOI,TAITA TAVETA,MWATATE VOI,CKAHARELI,HEAD ON COLLISION,M,A,8,P/PASENGER,1,30/04/2016,
1330,KEROKA,KISII,KEROKA TOWNSHIP,KEROKA TOWNSHIP,THE VEHICLE KNOCKED DOWN THE VICTIM,M,20,58,PEDESTRIAN,1,30/04/2016,
1820,BUSIA,BUSIA,KISUMU BUSIA,RAKITE BRIDGE,HEAD ON COLLISION,M,A,8,M/CYCLIST,1,30/04/2016,
1945,MALINDI,KILIFI,MALINDI MALANGA,MAGOMBENI,THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES,M,A,92,PASSENGER,1,30/04/2016,
2100,SALAMA,MAKUENI,NAIROBI MOMBASA,KIONGWANI,,M,A,,DRIVER,1,30/04/2016,
2045,GILGIL,NAKURU,GILGIL NAKURU,JAKARANDA,HIT AND RUN,M,A,98,PEDESTRIAN,1,30/04/2016,
2230,KAYOLE,NAIROBI,KANGUNDO,KWA POWER,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98,PEDESTRIAN,1,30/04/2016,
2330,STAREHE,NAIROBI,MURANGA,NAIROBI WATER,HIT AND RUN,M,A,63,PEDESTRIAN,1,30/04/2016,
2300,DAGORETI,NAIROBI,WAIYAKI,NAIROBI SCHOOL,THE VEHICLE LOST CONTROL AND ROLLED SEVERALLY,M,A,26,PASSENGER,1,30/04/2016,
355,EMBAKASI,NAIROBI,MOMBASA,FAW,HIT AND RUN,M,A,98,PEDESTRIAN,1,30/04/2016,
610,CHANGAMWE,MOMBASA,MAINLAND JOMVU,JOMVU AREA,THE CYCLE HIT THE TRAILER FROM THE REAR,M,A,10,M/CYCLIST,1,29/04/2016,
815,KILIFI,KILIFI,KILIFI VITENGENI,EZAMOYO AREA,THE KMDG 044E RAMMED INTO THE VEHICLE AND THEN THE KMDH 025K BOXER,M,23 & 27,10,M/CYCLIST,2,29/04/2016,
UNKNOWN TIME,MAKINDU,MAKUENI,MUSYINI KYULU MURRAM ROAD,KAMBU AREA,HIT AND RUN,M,30,98,PEDESTRIAN,1,29/04/2016,
1600,MACHAKOS,MACHAKOS,WITHIN MACHAKOS TOWN,BUS STAGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,3,98,PEDESTRIAN,1,29/04/2016,
1900,KEROKA,NYAMIRA,KEROKA SOTIK,KISAURI AREA,THE CYCLE HIT THE VEHICLE,M,28,52,M/CYCLIST,1,29/04/2016,
2040,LARI,KIAMBU,KIJABE NAIVASHA,GICHIEGO JUNCTION,HIT AND RUN,M,21,98,PEDESTRIAN,1,29/04/2016,
2030,KILIMANI,NAIROBI,PROFESSIONAL ROAD,NEAR STATE HOUSE,THE VEHICLE RAMMED INTO THE REAR,M,49,29,DRIVER,1,29/04/2016,
2100,KISII,KISII,KISII KILGORIS,MASHAURI AREA,THE VEHICLE VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,A,98,PEDESTRIAN,1,29/04/2016,
1920,EMBU,EMBU,KIAMBERE BOLRIT,MUTUVALI JUNCTION,THE CYCLE KNOCKED DOWN THE VEHICLE,M,32,98,M/CYCLIST,1,29/04/2016,
1720,EMBAKASI,NAIROBI,NORTH AIRPORT ROAD,TRANSAMI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,28,63,PEDESTRIAN,1,29/04/2016,
2030,STAREHE,NAIROBI,THIKA SUPERHIGHWAY,MUTHAIGA UNDER PASS,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63,PEDESTRIAN,1,29/04/2016,
200,THIKA,KIAMBU,THIKA GARISSA,MAGUNGUNI AREA,HEAD ON COLLISION,M,20,69,M/CYCLIST,1,29/04/2016,
945,LAIKIPIA,LAIKIPIA,NANYUKI NYERI,EQUATOR,THE FIELDER RAMMED INTO THE STATIONARY VEHICLE,M,A,29,DRIVER,1,26/04/2016,
1030,KERICHO,KERICHO,KERICHO NAKURU,DUKA MOJA,THE CYCLE WAS HIT BY THE LORRY,M,26,98,M/CYCLIST,1,26/04/2016,
1210,HOMA BAY,HOMA BAY,RODI KOPANY RANGWE,TAUSI,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,11,,PEDESTRIAN,1,26/04/2016,
1100,MUMIAS,KAKAMEGA,MATUNGU PANYA,PATH ROUTE,THE VICTIM WAS ON TOP OF A TREE WHEN HE FELL DOWN ONTO THE TRUCK,M,5,64,PEDESTRIAN,1,26/04/2016,
1430,MTITO ANDEI,MAKUENI,MOMBASA NAIROBI,MIGINGO AREA,THE CYCLIST LOST CONTROL AND ROLLED SEVERALL TIMES,M,23,98,M/CYCLIST,1,26/04/2016,
1230,EMBU,EMBU,KIANGOKOMA TRADING CENTRE,MUNGANIA,THE CYCLIST KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,40,26,PEDESTRIAN,1,26/04/2016,
800,EMBAKASI,NAIROBI,MOMBASA,CABANAS,THE LORRY KNOCKED DOWN THE M/CYCLIST,M,A,,P/PASSENGER,1,26/04/2016,
2100,BARINGO,BARINGO,KABARNET MARIGAT,SESYA TRADING CENTRE,THE VEHICLE LOST CONTROL WHILE NEGOTIATING A SHARP CORNER AND LANDED INTO A DITCH,M,29,26,DRIVER,1,26/04/2016,
2315,BOMET,BOMET,BOMET SOTIK,LONGISA SECONDARY SCHOOL,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND LANDED INTO A DITCH",M,A,26,DRIVER,1,26/04/2016,
2200,KISII,KISII,KISII KISUMU,NYAMATARO,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98,PEDESTRIAN,1,26/04/2016,
1630,KIKUYU,KIAMBU,NAIROBI KIKUYU,KINOO,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,14,PEDESTRIAN,1,26/04/2016,
700,SALAMA,MAKUENI,NAIROBI MOMBASA,MLIMA KIU AREA,HEAD ON COLLISION,M,A,26,DRIVER,1,24/04/2016,
1300,KOIBATEK,BARINGO,ELDAMA RAVINE SAOS,KAPTANA,THE VEHICLE HIT THE M/CYCLIST,M,19,10,M/CYCLIST,1,24/04/2016,
2050,KAJIADO,KAJIADO,KAJIADO ISINYA,KENCHICK AREA,HEAD ON COLLISION,M,A,10,M/CYCLIST,1,24/04/2016,
1500,OYUGIS,HOMA BAY,OYUGIS KISII,KIDI AREA,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,15,98,PEDESTRIAN,1,24/04/2016,
2245,ONGATA RONGAI,KAJIADO,NAIROBI MAGADI,SISA PUB,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,15,8,PEDESTRIAN,1,24/04/2016,
1245,MAKINDU,MAKUENI,NAIROBI MOMBASA,MAKINDU TOWNSHIP,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,98,PEDESTRIAN,1,23/04/2016,
1750,KABRAS,KAKAMEGA,KAKAMEGA WEBUYE,MSALABA,THE CYCLE RAMMED INTO THE MATATU,M,A,8,M/CYCLIST,1,23/04/2016,
1750,KABRAS,KAKAMEGA,KAKAMEGA WEBUYE,MSALABA,THE CYCLE RAMMED INTO THE MATATU,M,A,8,P/PASSENGER,1,23/04/2016,
2050,RUIRU,KIAMBU,NORTHERN BY PASS,ROLEX AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,60,PEDESTRIAN,1,23/04/2016,
1430,NYANDO,KISUMU,CHEMILIL AWASI,OFFISENGENY AREA,"THE VEHICLE GOT A TYRE BURST,VEERED OFF THE ROAD AND ROLLED",F,70,79,PASSENGER,1,23/04/2016,
2100,GILGIL,NAKURU,OLKALAU GILGIL,KAROGA AREA,THE CYCLE LOST CONTROL AND LANDED INTO A DITCH,M,19,29,M/CYCLIST,1,23/04/2016,
2000,KEIYO,ELGEYO MARAKWET,ELDORET NYARU,CHIRCHIR AREA,THE VEHICLE RAMMED INTO THE REAR OF THE TRACTOR,M,5 MONTHS,10,PASSENGER,1,23/04/2016,
2030,MERU,MERU,MERU MIKINDURI,KANYABITHA AREA,HEAD ON COLLISION,M,A,98,DRIVER,1,23/04/2016,
2030,MERU,MERU,MERU MIKINDURI,KANYABITHA AREA,HEAD ON COLLISION,2F & M,A,98,PASSENGER,3,23/04/2016,
2315,MWINGI,MWINGI,MWINGI GARISSA,EAST VIEW AREA,HEAD ON COLLISION,M,26,8,M/CYCLIST,1,23/04/2016,
615,STAREHE,NAIROBI,THIKA SUPERHIGHWAY,DRIVE INN AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,A,14,PEDESTRIAN,1,22/04/2016,
1230,NAKURU,MAKURU,NAKURU NAIROBI,BAHATI JUNCTION,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,28,66,PEDESTRIAN,1,22/04/2016,
1930,GUCHA,KISII,NYANGUSU KEROKA,GESUSU AREA,THE PROBOX WAS TRYING TO OVERTAKE WHEN IT WAS HIT BY THE TOWNACE,M,A,29,DRIVER,1,22/04/2016,
1930,GUCHA,KISII,NYANGUSU KEROKA,GESUSU AREA,THE PROBOX WAS TRYING TO OVERTAKE WHEN IT WAS HIT BY THE TOWNACE,F,A,29,PEDESTRIAN,2,22/04/2016,
2030,KIKUYU,KIAMBU,SOUTHERN BY PASS,NEAR KIKUYU FLY OVER,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,27,26,PEDESTRIAN,1,22/04/2016,
2035,MWEIGA,NYERI,NYERI NYAHURURU,NEAR HONI RIVER,THE MATATU RAMMED INTO THE TRAILER,M,38,16,DRIVER,1,22/04/2016,
1455,MURANGA,MURANGA,MURANGA KIRIANI,KAWERU AREA,THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH,M,40,7,DRIVER,1,21/04/2016,
1700,KAKAMEGA,KAKAMEGA,KAKAMEGA MUMIAS,MAONDO AREA,HEAD ON COLLISION WITH M/CYCLE,F,60,10,P/PASSENGER,1,21/04/2016,
1950,MAKONGENI,NAIROBI,JOGOO ROAD,NEAR LIKONI JUNCTION,HIT AND RUN,M,A,63,PEDESTRIAN,1,21/04/2016,
2020,VIHIGA,VIHIGA,CHAVAKALI KAPSABET,MUSASA AREA,HEAD ON COLLISION,M,A,8,DRIVER,1,21/04/2016,
2020,VIHIGA,VIHIGA,CHAVAKALI KAPSABET,MUSASA AREA,HEAD ON COLLISION,M,A,8,PASSENGER,6,21/04/2016,
1,NAKURU,NAKURU,NAKURU NAIROBI,NEAR TUSKYS SUPERMARKET,THE CYCLE LOST CONTROL AND LANDED INTO A DITCH,M,A,98,M/CYCLIST,1,21/04/2016,
1520,JUJA,KIAMBU,THIKA SUPERHIGHWAY,NEAR NDARUGO MOTELS,THE KXZ 560 RAMMED INTO THE REAR OF KCD 093X,M,30,7,DRIVER,1,20/04/2016,
1620,DAGORETTI,NAIROBI,WAIYAKI WAY,NEAR KABETE ARMY BARRACKS,THE VICTIM FELL DOWN AND WAS OVER RAN BY THE VEHICLE,M,25,70,PASSENGER,1,20/04/2016,
1525,KILIFI,KILIFI,MALINDI MOMBASA,PHUMANI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,90,61,PEDESTRIAN,1,20/04/2016,
1830,ATHI RIVER,MACHAKOS,MAKADARA NAMAGA,NEAR BOX INN AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,9,63,PEDESTRIAN,1,20/04/2016,
1900,STAREHE,NAIROBI,JUJA ROAD,NEAR MOI AIR BASE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,25,42,PEDESTRIAN,1,20/04/2016,
2100,BURUBURU,NAIROBI,WITHIN DONHOLM SHOPPING CENTRE,NEAR KAMINDI SUPERMARKET,HIT AND RUN,M,37,7,PEDESTRIAN,1,20/04/2016,
2139,EMBU,EMBU,EMBU MANYATTA,MANYATTA MARKET,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,35,98,PEDESTRIAN,1,20/04/2016,
130,MTITO ANDEI,MAKUENI,MOMBASA NAIROBI,KENANI AREA,THE BUS HIT THE VEHICLE AND AS RESULT THE SURF ROLLED SEVERAL TIMES,M,43,98,DRIVER,1,20/04/2016,
130,MTITO ANDEI,MAKUENI,MOMBASA NAIROBI,KENANI AREA,THE BUS HIT THE VEHICLE AND AS RESULT THE SURF ROLLED SEVERAL TIMES,M,43,98,PASSENGER,1,20/04/2016,
700,NAIVASHA,NAKURU,MAI MAHIU NAIVASHA,KOSOVO AREA,THE SCANIA TRAILER RAMMED INTO BEIBEN TRAILER,M,A,10,DRIVER,1,19/04/2016,
930,MUMIAS,KAKAMEGA,MUMIAS LUKOYE,MUMIAS LUKOYE JUNCTION,THE VEHICLE KNOCKED DOWN THE MOTOR CYCLIST,M,J,7,P/PASSENGER,1,19/04/2016,
930,HOMA BAY,HOMA BAY,NDHIWA SORI,NTHIWA AREA,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND ROLLED",M,A,26,PASSENGER,1,19/04/2016,
1530,MAKUPA,MOMBASA,SHIMANZI MOMBASA,NEAR SHIVA CORNER,HIT AND RUN,M,40,98,PEDESTRIAN,1,19/04/2016,
1330,KOIBATEK,BARINGO,MUNGOTIO RAVINE,NGOSWET AREA,THE VEHICLE KNOCKED DOWN THE MOTOR CYCLIST,M,24,8,M/CYCLIST,1,19/04/2016,
1000,TIGONI,KIAMBU,NAIROBI NAIVASHA,NGARARIGA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,55,68,PEDESTRIAN,1,18/04/2016,
1630,MAKONGENI,NAIROBI,LANDHIES ROAD,NEAR SAKWA JUNCTION,THE VEHICLE KNOCKED DOWN UNKNOWN H/CART PUSHER,M,A,20,DRIVER,1,18/04/2016,
2040,MWEA,KIRINYAGA,MWEA MAKUTANO,MAKAWANI AREA,THE VEHICLE KNOCKED DOWN THE M/CYCLE,F,30,98,P/PASSENGER,1,18/04/2016,
2000,GIGIRI,NAIROBI,LOWER KABETE,NEAR SHELL PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,60,14,PEDESTRIAN,1,18/04/2016,
2130,BARINGO,BARINGO,MARIGAT LORUK,LORUK,THE SAID M/V VEERED OFF THE ROAD LANDING ON RIGHT SIDE OF THE ROAD,M,28,26,DRIVER,1,17/04/2016,
1730,MWEA,EMBU,MWEA EMBU,KIRINYAGA,THE SAID M/V KNOCKED DOWN A PEDESTIAN,F,9,36,PEDESTRIAN,1,17/04/2016,
1615,SALGA,NAKURU,NAKURU ELDORET,NAKURU TEACHERS COLLEGE,THE SAID M/V KNOCKED DOWN A PEDESTIAN,M,12,63,PEDESTRIAN,1,17/04/2016,
1930,MAKUPA,MOMBASA,MAKUPA CUSE WAY,DUMPING SITE,HIT AND RUN,M,A,98,PEDESTRIAN,1,17/04/2016,
2200,GARISSA,GARISSA,GARISSA MWINGI,MADOGO,THE SAID M/CYLIST COLLIDED HEAD ON WITH A M/V,M,A,98,M/CYCLIST,1,17/04/2016,
1714,ATHI RIVER,MACHAKOS,NAIROBI MACHAKOS,PETER MULI SUPERMARKET,UNKNOWN M/V HIT UNKNOWN PEDESTRIAN,M,A,98,PEDESTRIAN,1,17/04/2016,
800,DTEO STAREHE,NAIROBI,JUJA,OLYMPIC PETROL STATION,HIT AND RUN,M,A,98,PEDESTRIAN,1,16/04/2016,
700,TARU,KILIFI,NAIROBI MOMBASA,SAMBURU AREA,THE ISUZU RAMMED INTO THE REAR OF THE TRAILER,M,35,7,DRIVER,1,16/04/2016,
1430,BONDO,HOMA BAY,BONDO NDORI,NEAR ATIGO MARKET,THE VEHICLE KNOCKED DOWN THE VICTIM,F,12,98,PEDESTRIAN,1,16/04/2016,
1430,DTEO GIGIRI,NAIROBI,NORTHERN BY PASS,GITHOGORO AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,25,98,PEDESTRIAN,1,16/04/2016,
1930,LONDIANI,NAKURU,KERICHO NAKURU,CHEBEWORKWA NAHASHON AREA,HIT AND RUN,M,27,60,PEDESTRIAN,1,16/04/2016,
2100,DTEO STAREHE,NAIROBI,KIAMBU,WAMBUI ROAD NEXT TO TUTHAIGA GOLF CLUB,HIT AND RUN,M,A,98,PEDESTRIAN,1,16/04/2016,
2045,NAROK,NAROK,NAROK MAIMAHIU,STIMA AREA,THE MATATU RAMMED INTO THE REAR OF THE TRACTOR,M,A,29,PASSENGER,1,16/04/2016,
2145,MUKURWENI,NYERI,MUKURWENI KARATINA,NGOLU AREA,HEAD ON COLLISION,M,44,8,DRIVER,1,16/04/2016,
129,GILGIL,NAIROBI,LIMURU FOREST,LIMURU FOREST INTERCHANGE,HEAD ON COLLISION WITH AN ONCOMING VEHICLE,M,57,8,M/CYCLIST,1,16/04/2016,
1201,KISUMU,KISUMU,KISUMU BUSIA,KISUMU AIRPORT ROUNDABOUT,THE CYCLE LOST CONTROL AND FELL DOWN,M,A,36,M/CYCLIST,1,16/04/2016,
1246,DTEO CENTRAL,NAIROBI,RACE COURSE,OPPOSITE KOINANGE PETROL STN,HIT AND RUN,M,30,60,PEDESTRIAN,1,16/04/2016,
1605,MOLO,NAKURU,MOLO ELBAGON,NEAR LANDI AREA,THE CYCLE RAMMED INTO THE SALOON CAR,M,A,39,M/CYCLIST,1,16/04/2016,
700,AWENDO,MIGORI,AWENDO MIGORI,LWALA,THE FIELDER RAMMED INTO THE MITSUBISHI,M,18,29,DRIVER,1,15/04/2016,
830,SULTAN HAMUD,MAKUENI,KIKOKO NUNGUNI,KISYANI,HEAD ON COLLISION,M,50,29,M/CYCLIST,1,15/04/2016,
1300,NAROK,NAROK,MULOT NAROK,KUTETE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,12,60,PEDESTRIAN,1,15/04/2016,
1200,MOI'S BRIDGE,TRANS NZOIA,KITALE ELDORET,CHEMOSIT,THE M/CYCLE WAS HIT BY THE MATATU,M,50,10,M/CYCLIST,1,15/04/2016,
1420,MTITO ANDEI,MAKUENI,MTITO TOWNSHIP,MTITO TOWNSHIP,HEAD ON COLLISION WITH ANOTHER TRAILER,M,22,68,PASSENGER,1,15/04/2016,
1500,NYANDO,KISUMU,ONYWONGO PAP ONDITI,KOGUOM,THE VEHICLE KNOCKED DOWN THE M/CYCLIST,F,71,22,P/PASSENGER,1,15/04/2016,
1900,KILIFI,KILIFI,KILIFI MALINDI,MKOROSHONI,THE VEHICLE KNOCKED DOWN THE M/CYCLIST,M,17,26,M/CYCLIST,1,15/04/2016,
2030,KANGEMA,MURANGA,KANGEMA MURANGA,KAHUTI JUNCTION,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM",M,30,7,PEDESTRIAN,1,15/04/2016,
10,NAKURU,NAKURU,NAKURU NAIROBI,STATE HOUSE,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND LANDED INTO A DITCH",M,A,26,DRIVER,1,15/04/2016,
120,RUIRU,KIAMBU,EASTERN BY PASS,ROLEX,HIT AND RUN,M,A,61,PEDESTRIAN,1,15/04/2016,
2100,LUANDA,VIHIGA,KISUMU BUSIA,MAGHARIBI FILLING STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,50,29,PEDESTRIAN,1,15/04/2016,
530,NAROK,NAROK,MAIMAHIU NAROK,MALTURS AREA,THE VEHICLE LOST CONTROL AND VEERED OFF THE ROAD,M,A,26,PASSENGER,1,14/04/2016,
700,DTEO STAREHE,NAIROBI,MURANGA,K.I.E,THE VICTIM ALIGHTED WHILE THE VEHICLE WAS IN MOTION,M,A,69,PASSENGER,1,14/04/2016,
1930,BONDO,KISUMU,USENGE BEACH ROAD,USENGE TOWNSHIP,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,35,26,PEDESTRIAN,1,14/04/2016,
2000,MAKUPA,MOMBASA,MAKUPA CAUSEWAY(KIPARANI),NEAR RAILWAY BRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,63,PEDESTRIAN,1,14/04/2016,
2215,SULTAN HAMUD,MACHAKOS,NAIROBI MOMBASA,SALAMA TRADING CENTRE,HIT AND RUN,M,43,98,PEDESTRIAN,1,14/04/2016,
2315,NYANDO,HOMA BAY,AHERO KISUMU,NEAR AWASI,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,60,PEDESTRIAN,1,14/04/2016,
610,MOLO,NAKURU,NAKURU ELDORET,KERONGA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,63,PEDESTRIAN,1,13/04/2016,
945,MTWAPA,KILIFI,MOMBASA KILIFI,MTWAPA BRIDGE,HIT AND RUN,M,28,98,M/CYCLIST,1,13/04/2016,
1130,ATHI RIVER,MACHAKOS,NAIROBI MACHAKOS,MTO MAWE AREA,HEAD ON COLLISION,M,A,29,DRIVER,1,13/04/2016,
1530,NAKURU,NAKURU,NAKURU ELDORET,OPPOSITE KENOL PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,30,60,PEDESTRIAN,1,13/04/2016,
1750,MTWAPA,KILIFI,MOMBASA KILIFI,SHAURI MOYO AREA,THE HARRIER COLLIDED HEAD ON WITH THE ONCOMING MATATU,M,24,10,PASSENGER,1,13/04/2016,
1550,STAPOL MAGUNGA,HOMA BAY,KIGOTO MAGUNGA,NYABURU AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,13,68,PEDESTRIAN,1,13/04/2016,
100,RUIRU,KIAMBU,NAIROBI THIKA,KIHUNGURO BUMPS AREA,HIT AND RUN,F,30,14,PEDESTRIAN,1,13/04/2016,
800,BURUBURU,NAIROBI,KOMAROCK ROAD,WAMWERE STAGE,THE VEHICLE HIT THE M/CYCLE,M,A,26,M/CYCLIST,1,12/04/2016,
1105,LARI,KIAMBU,NAIVASHA NAIROBI,KIMENDE AREA,THE KBN 174V HIT THE OTHER VEHICLE,F,A,15,PASSENGER,1,12/04/2016,
645,LIKONI,MOMBASA,UKUNDA LIKONI,MANYATTA AREA,THE CYCLE LOST CONTROL AND FELL DOWN,F,3 MONTHS,10,P/PASSENGER,1,12/04/2016,
1350,STAREHE,NAIROBI,MAX ROAD,MBUTHIA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,6,64,PEDESTRIAN,1,12/04/2016,
2140,MAKUYU,MURANG'A,KENOL SAGANA,NEAR MURANGA TEACHERS COLLEGE,THE TRAILER FELL DOWN AND LANDED ON THE SALOON CAR,2M & 3F,"39,30,40,33, & 30",98,PASSENGER,5,12/04/2016,
1630,NAIVASHA,NAKURU,NAIROBI NAKURU,KCC,THE CYCLE HIT THE GUARD RAIL OF THE TRAILER AND FELL DOWN,M,A,10,M/CYCLIST,1,11/04/2016,
2000,INDO AREA,NAIROBI,MOMBASA,VISION PLAZA,HIT AND RUN,M,A,98,PEDESTRIAN,1,11/04/2016,
2300,SULTAN,MAKUENI,NAIROBI MOMBASA,MLIMA MAZIWA,THE VEHICLE ROLLED SEVERAL TIMES,M,A,98,PASSENGER,1,11/04/2016,
1015,NAROK,NAROK,NAROK MAIMAHIU,NEAR SUSWA,THE VEHICLE LOST CONTROL AND OVERTURNED,M,26,26,PASSENGER,1,10/04/2016,
1140,MAKUENI,MAKUENI,MOMBASA NAIROBI,KAMBU AREA,THE VEHICLE RAMMED INTO THE TRAILER,M,40,29,DRIVER,1,10/04/2016,
1105,BUNGOMA,BUNGOMA,BUNGOMA MUMIAS,KABULA AREA,THE VEHICLE HIT THE M/CYCLIST,M,A,36,M/CYCLIST,1,10/04/2016,
1105,BUNGOMA,BUNGOMA,BUNGOMA MUMIAS,KABULA AREA,THE VEHICLE HIT THE M/CYCLIST,M,A,36,P/PASSENGER,1,10/04/2016,
100,EMBAKASI,NAIROBI,MOMBASA,AIRPORT FLY OVER,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM,M,A,26,PEDESTRIAN,1,10/04/2016,
1400,NYANDARUA,NYAHURURU,NYERI NYAHURURU,MAIRO INYA AREA,HEAD ON COLLISION,M,23,10,M/CYCLIST,1,10/04/2016,
1945,GARISSA,GARISSA,GARISSA MWINGI,FRONTIER JUNCTION,THE CYCLE LOST CONTROL AND THE VICTIM FELL DOWN,M,32,21,M/CYCLIST,1,10/04/2016,
1955,NAROK,NAROK,NAROK MULOT,NAROK TOEN,HIT AND RUN,M,30,61,PEDESTRIAN,1,10/04/2016,
2030,OYUGIS,HOMA BAY,OYUGIS KISUMU,MIGAI AREA,HIT AND RUN,M,30,98,M/CYCLIST,1,10/04/2016,
2000,MOI'S BRIDGE,BARINGO,KITALE ELDORET,MUSALABA YELLOW AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,40,68,PEDESTRIAN,1,10/04/2016,
1000,KIKUYU,KIAMBU,ONDIRE KIKUYU,KWAMATHERA AREA,HIT AND RUN,M,25,86,M/CYCLIST,1,10/04/2016,
